M1, M2
1.00000, 0.67600
1.00000, 0.67900
1.00000, 0.67660
1.00000, 0.67380
1.00000, 0.67660
1.00000, 0.68040
1.00000, 0.67820
1.00000, 0.67980
1.00000, 0.68040
1.00000, 0.67960
1.00000, 0.67800
1.00000, 0.68200
1.00000, 0.68220
1.00000, 0.68560
1.00000, 0.68440
1.00000, 0.68580
1.00000, 0.68740
1.00000, 0.68500
1.00000, 0.68520
1.00000, 0.68460
1.00000, 0.68700
1.00000, 0.68800
1.00000, 0.69040
1.00000, 0.68860
1.00000, 0.68920
1.00000, 0.69040
1.00000, 0.68900
1.00000, 0.68560
1.00000, 0.68580
1.00000, 0.68680
1.00000, 0.68720
1.00000, 0.68560
1.00000, 0.68820
1.00000, 0.68560
1.00000, 0.68600
1.00000, 0.68880
1.00000, 0.68840
1.00000, 0.69000
1.00000, 0.68940
1.00000, 0.68960
1.00000, 0.69220
1.00000, 0.69020
1.00000, 0.68940
1.00000, 0.68720
1.00000, 0.68800
1.00000, 0.68820
1.00000, 0.69020
1.00000, 0.69180
1.00000, 0.69260
1.00000, 0.69360
1.00000, 0.69280
1.00000, 0.69280
1.00000, 0.69360
1.00000, 0.69560
1.00000, 0.69420
1.00000, 0.69260
1.00000, 0.68920
1.00000, 0.68900
1.00000, 0.68820
1.00000, 0.68660
1.00000, 0.68620
1.00000, 0.68380
1.00000, 0.68640
1.00000, 0.68440
1.00000, 0.68380
1.00000, 0.68420
1.00000, 0.68600
1.00000, 0.68520
1.00000, 0.68600
1.00000, 0.68860
1.00000, 0.68960
1.00000, 0.69060
1.00000, 0.69220
1.00000, 0.69220
1.00000, 0.69520
1.00000, 0.69520
1.00000, 0.69600
1.00000, 0.69660
1.00000, 0.69920
1.00000, 0.69700
1.00000, 0.69920
1.00000, 0.69960
1.00000, 0.69920
1.00000, 0.69800
1.00000, 0.69920
1.00000, 0.70060
1.00000, 0.70160
1.00000, 0.70120
1.00000, 0.70140
1.00000, 0.70380
1.00000, 0.70500
